OaSIS Code - Final,OaSIS Label - Final,Accounting,Business Administration,Clerical,Finance,Human Resources and Labour relations,Sale and Marketing,Client Services,Communications and Media,Teaching,"Training, Mentoring and Coaching",Hospitality,Mental Health,Physical Health,"Recreation, Leisure and Fitness",Veterinarian and Animal Care,Law,Public Affairs and Government relations,Public Safety and Security,"Manufacturing, Processing and Production",Logistics,Performance Measurement,Technical Design,Agriculture and horticulture,Forestry,Geological Resources,"Livestock, Farm animals & Wildlife",Water Resources,Biology,Chemistry,Geoscience,Physics ,Arts,Economics,Humanities,"Library, Conservation, and Heritage",Theology and Philosophy,Building and Construction,"Computer, technology and Information Systems",Electrical and Electronics,Mechanics and Machinery,Telecommunications,Vehicles and Machinery Operations,Languages,Mathematics
00010.00,Legislators,2,3,2,1,3,0,0,3,0,0,0,0,0,0,0,3,3,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,3,2
00011.00,Senior government managers and officials,3,3,2,3,3,0,0,3,0,0,0,0,0,0,0,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,3,3
00012.00,"Senior managers - financial, communications and other business services",3,3,2,3,3,3,0,3,0,0,0,0,0,0,0,3,2,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,3,3
00013.00,"Senior managers - health, education, social and community services and membership organizations",3,3,2,3,3,0,0,3,0,0,2,2,2,1,0,3,2,3,0,3,3,2,0,0,0,0,0,2,0,0,0,0,3,2,0,2,0,0,0,0,0,0,3,3
00014.00,"Senior managers - trade, broadcasting and other services",3,3,2,3,3,0,0,3,0,0,0,0,0,0,0,3,2,1,2,3,3,2,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,3,3
00015.00,"Senior managers - construction, transportation, production and utilities",3,3,2,3,3,0,0,2,0,0,0,0,0,0,0,3,2,2,3,3,3,2,0,0,2,0,2,0,0,2,2,0,3,1,0,0,3,0,0,0,0,1,3,3
10010.00,Financial managers,3,3,3,3,2,1,3,1,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10011.00,Human resources managers,3,3,3,1,3,0,0,1,0,1,0,1,0,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,2
10012.00,Purchasing managers,3,3,3,1,2,0,1,1,0,0,0,0,0,0,0,2,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3
10019.00,Other administrative services managers,3,3,3,1,2,0,0,1,0,1,0,0,0,0,0,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
10020.01,Insurance managers,3,3,3,3,2,3,3,1,0,1,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10020.02,Real estate service managers,3,3,3,2,2,3,3,1,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2
10020.03,Mortgage broker managers,3,3,3,3,2,3,3,1,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10020.04,Securities manager,3,3,3,3,2,3,3,1,0,0,0,0,0,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10021.01,Banking and other investment managers,3,3,3,3,2,3,3,1,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10021.02,Credit managers,3,3,3,3,2,3,3,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
10022.01,Advertising managers,2,3,3,1,2,3,3,2,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,3,2
10022.02,Marketing managers,2,3,3,1,2,3,3,2,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,3,2
10022.03,Public relation managers,2,3,3,1,2,3,3,3,0,1,0,1,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,3,1
10022.04,E-business managers,2,3,3,1,2,3,3,3,0,1,0,0,0,0,0,2,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,2,2
10029.00,Other business services managers,3,3,3,2,2,1,3,3,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
10030.00,Telecommunication carriers managers,2,3,3,1,2,0,3,3,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2
11100.01,Financial auditors,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11100.02,Accountants,3,3,3,3,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11101.01,Financial analysts,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11101.02,Investment analysts,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11102.00,Financial advisors,3,3,2,3,1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11103.01,Securities agents and investment dealers,3,2,3,3,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11103.02,Brokers,3,2,3,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11109.01,Financial examiners and inspectors,3,2,3,3,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11109.02,Financial investigators,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11109.03,Financial Underwriters,3,2,3,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11109.04,Trust officers,3,2,3,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
11109.05,Mortgage brokers ,3,2,3,2,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3
