OaSIS Code - Final,OaSIS Label - Final,Reading Comprehension,Writing  ,Numeracy , Digital Literacy,Oral Communication: Active Listening   ,Oral Communication: Oral Comprehension   ,Oral Communication: Oral Expression ,Critical Thinking,Decision Making,Evaluation,Learning and Teaching Strategies,Problem Solving,Systems Analysis,Digital Production,Preventative Maintenance,Equipment and Tool Selection,Operation and Control,Operation Monitoring of Machinery and Equipment,Quality Control Testing,Repairing,Setting up,Product Design,Troubleshooting,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Monitoring,Time Management,Coordinating,Instructing,Negotiating,Persuading,Social Perceptiveness
00010.00,Legislators,5,4,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,5,5,5
00011.00,Senior government managers and officials,5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
00012.00,"Senior managers - financial, communications and other business services",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
00013.00,"Senior managers - health, education, social and community services and membership organizations",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,0,1,0,0,0,0,5,5,5,5,5,5,4,5,5,4
00014.00,"Senior managers - trade, broadcasting and other services",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,0,0,1,1,0,0,1,0,5,5,5,5,5,5,4,5,5,4
00015.00,"Senior managers - construction, transportation, production and utilities",5,5,4,4,4,5,5,5,5,5,5,5,5,0,0,1,0,1,1,0,0,1,0,5,5,5,5,5,5,4,5,5,4
10010.00,Financial managers,4,4,5,4,4,4,4,4,4,5,4,4,5,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10011.00,Human resources managers,3,4,3,4,4,4,4,4,5,5,4,4,5,0,0,0,0,0,2,0,0,0,0,4,4,5,5,5,4,4,5,5,4
10012.00,Purchasing managers,3,4,4,3,3,4,4,4,4,4,4,4,5,0,0,0,0,0,2,0,0,0,0,5,5,5,4,5,4,4,5,5,3
10019.00,Other administrative services managers,3,4,3,3,3,4,3,4,4,4,3,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,4,4,4
10020.01,Insurance managers,3,4,4,4,4,4,3,4,4,5,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10020.02,Real estate service managers,3,4,3,3,3,4,3,4,4,4,3,4,4,0,0,0,0,0,2,0,0,0,0,5,4,4,4,4,4,4,5,4,3
10020.03,Mortgage broker managers,3,4,4,4,3,4,3,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,4,4
10020.04,Securities manager,4,4,4,4,4,4,4,4,5,4,4,4,5,0,0,0,0,0,2,0,0,0,0,5,3,4,5,5,4,4,5,5,3
10021.01,Banking and other investment managers,4,4,4,4,4,4,3,4,4,4,5,4,5,0,0,0,0,0,2,0,0,0,0,5,3,5,5,5,4,4,4,5,4
10021.02,Credit managers,3,4,4,5,4,4,3,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,3,4,5,5,4,4,4,5,4
10022.01,Advertising managers,3,4,3,4,4,4,4,4,5,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,4,5,5,5,5,4,5,5,5
10022.02,Marketing managers,3,4,3,4,4,4,4,4,5,4,4,4,4,0,0,0,0,0,2,0,0,0,0,5,4,5,5,5,4,4,5,5,5
10022.03,Public relation managers,4,5,3,4,4,4,5,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,4,5,5
10022.04,E-business managers,4,4,3,4,4,4,4,4,4,4,4,4,5,0,0,0,0,0,1,0,0,0,0,4,4,5,5,4,4,4,4,4,4
10029.00,Other business services managers,3,4,3,3,4,3,4,4,4,4,4,4,4,0,0,0,0,0,2,0,0,0,0,4,4,5,5,4,4,4,5,4,4
10030.00,Telecommunication carriers managers,3,4,3,3,4,4,4,4,4,4,4,4,5,0,0,0,2,3,2,0,0,3,2,4,4,5,5,4,4,4,4,4,4
11100.01,Financial auditors,3,3,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,2,3,4,3,3,3,1,3,3
11100.02,Accountants,3,3,4,4,3,4,3,3,3,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,2,3,4,3,3,3,1,3,2
11101.01,Financial analysts,4,3,5,5,3,4,3,4,3,4,3,3,4,0,0,0,0,0,2,0,0,0,0,4,1,2,3,3,3,3,3,3,2
11101.02,Investment analysts,4,3,5,5,3,4,3,4,3,4,3,3,4,0,0,0,0,0,2,0,0,0,0,4,1,2,3,3,3,3,2,3,2
11102.00,Financial advisors,4,3,4,5,3,4,4,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,5,1,2,4,3,3,3,3,4,3
11103.01,Securities agents and investment dealers,4,4,4,4,3,4,4,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,1,2,3,3,3,3,4,4,3
11103.02,Brokers,3,3,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,4,1,2,4,3,3,3,5,4,3
11109.01,Financial examiners and inspectors,4,3,4,4,3,4,4,5,4,5,4,4,5,0,0,0,0,0,1,0,0,0,0,3,1,3,5,3,3,3,1,3,3
11109.02,Financial investigators,4,4,4,4,3,4,3,4,4,4,3,4,4,0,0,0,0,0,1,0,0,0,0,3,2,3,3,3,4,3,1,3,3
11109.03,Financial Underwriters,4,4,4,4,3,4,4,4,4,4,3,3,4,0,0,0,0,0,1,0,0,0,0,4,2,3,3,3,4,2,4,3,3
11109.04,Trust officers,4,4,5,4,3,4,4,4,4,5,4,4,4,0,0,0,0,0,2,0,0,0,0,4,1,3,5,3,4,3,3,3,3
