OaSIS Code - Final,OaSIS Label - Final,"Estimate Quantifiable Charact. of Prod., Events or Info.",Getting Information,"Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Material","Monitoring Processes, Materials, or Surroundings ",Controlling Machines and Processes,Developing Technical Instructions,Clerical Activities,Electronic Maintenance,Handling and Moving Objects,Interacting with Computers,Managing Resources,Mechanical Maintenance,"Operating Vehicles, Mechanized Devices, or Equipment",Performing General Physical Activities,Processing Information,Analyzing Data or Information,Developing Objectives and Strategies,Evaluating Information to Determine Compliance with Standards,Judging Quality,Making Decisions,Planning and Organizing,Scheduling Work and Activities,Thinking Creatively,Using New Relevant Knowledge,Assisting and Caring for Others,Coaching and Developing Others,Communicating with Persons Outside Organization,Communicating with Coworkers,Coordinating the Work and Activities of Others,Establishing and Maintaining Interpersonal Relationships,Interpreting the Meaning of Information for Others,Performing for or Working Directly with the Public,Providing Consultation and Advice,Resolving Conflicts and Negotiating with Others,Selling or Influencing Others,Staffing ,Supervising Subordinates,Team Building,Training and Teaching 
00010.00,Legislators,4,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,4,4,4,2,5,5,5,5,5,5,4,5,5,5,5,5,5,3
00011.00,Senior government managers and officials,5,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00012.00,"Senior managers - financial, communications and other business services",5,5,4,1,4,0,0,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00013.00,"Senior managers - health, education, social and community services and membership organizations",5,5,4,1,4,0,0,4,0,1,3,5,0,0,1,5,5,5,5,5,5,5,4,4,4,2,5,5,5,5,5,4,3,5,5,5,5,5,5,4
00014.00,"Senior managers - trade, broadcasting and other services",5,5,4,1,4,0,0,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
00015.00,"Senior managers - construction, transportation, production and utilities",5,5,4,1,4,0,1,4,0,1,4,5,0,0,1,5,5,5,5,5,5,5,3,4,4,2,5,5,5,5,5,5,3,5,5,5,5,5,5,4
10010,Financial managers,4,4,5,1,4,0,0,4,0,0,4,4,0,0,0,4,5,4,4,4,4,4,4,3,4,2,5,4,4,4,4,3,2,4,4,4,5,5,5,3
10011,Human resources managers,3,4,3,0,2,0,0,3,0,1,3,4,0,0,0,3,4,5,4,4,4,4,4,3,3,3,4,3,5,4,4,4,2,5,5,4,5,5,4,4
10012,Purchasing managers,3,3,3,2,2,0,0,3,0,0,3,4,0,0,0,3,4,4,3,3,4,4,4,2,3,2,4,4,4,4,4,3,2,4,5,4,5,4,4,4
10019,Other administrative services managers,3,3,3,2,4,0,0,3,0,1,3,4,0,0,1,3,3,4,3,3,3,4,5,3,3,3,4,3,4,5,4,3,2,3,4,4,5,5,4,3
