noc_title,noc_2021,aioe,caioe,groupmean,Exposure,Comp,Quadrant
Senior government managers and officials,11,6.598938755,4.09714316,0.7275,High exposure,High complementarity,HE-HC
"Senior managers - financial, communications and other business services",12,6.598938755,4.09714316,0.7275,High exposure,High complementarity,HE-HC
"Senior managers - health, education, social and community services and membership organizations",13,6.567002537,4.176818592,0.712476852,High exposure,High complementarity,HE-HC
"Senior managers - trade, broadcasting and other services",14,6.486245376,4.176376083,0.704111111,High exposure,High complementarity,HE-HC
"Senior managers - construction, transportation, production and utilities",15,6.598938755,4.09714316,0.7275,High exposure,High complementarity,HE-HC
Financial managers,10010,6.647188027,4.664204772,0.646759259,High exposure,High complementarity,HE-HC
Human resources managers,10011,6.62976422,4.44562523,0.677777778,High exposure,High complementarity,HE-HC
Purchasing managers,10012,6.687508505,4.779745588,0.633611111,High exposure,High complementarity,HE-HC
Other administrative services managers,10019,6.524487672,4.826234238,0.608888889,High exposure,Low complementarity,HE-LC
"Insurance, real estate and financial brokerage managers",10020,6.623038024,4.76227683,0.629513889,High exposure,High complementarity,HE-HC
"Banking, credit and other investment managers",10021,6.672870348,4.688521475,0.645694444,High exposure,High complementarity,HE-HC
"Advertising, marketing and public relations managers",10022,6.629146986,4.878815906,0.612555556,High exposure,Low complementarity,HE-LC
Other business services managers,10029,6.478557879,4.484214383,0.65712963,High exposure,High complementarity,HE-HC
Telecommunication carriers managers,10030,6.233941817,4.722210926,0.590833333,High exposure,Low complementarity,HE-LC
Financial auditors and accountants,11100,6.705747841,5.206268115,0.571944444,High exposure,Low complementarity,HE-LC
Financial and investment analysts,11101,6.656898,0.858514833,0.6335,High exposure,High complementarity,HE-HC
Financial advisors,11102,6.679859123,5.284510773,0.557222222,High exposure,Low complementarity,HE-LC
"Securities agents, investment dealers and brokers",11103,6.668288733,5.027148784,0.594444444,High exposure,Low complementarity,HE-LC
Other financial officers,11109,6.650237614,5.107442807,0.580388889,High exposure,Low complementarity,HE-LC
Human resources professionals,11200,6.649056518,4.873566936,0.615509259,High exposure,High complementarity,HE-HC
Professional occupations in business management consulting,11201,6.559356224,5.002595668,0.585555556,High exposure,Low complementarity,HE-LC
"Professional occupations in advertising, marketing and public relations",11202,6.630252091,5.000096998,0.594375,High exposure,Low complementarity,HE-LC
"Supervisors, general office and administrative support workers",12010,6.502773276,4.952945645,0.586666667,High exposure,Low complementarity,HE-LC
"Supervisors, finance and insurance office workers",12011,6.502773276,4.952945645,0.586666667,High exposure,Low complementarity,HE-LC
"Supervisors, library, correspondence and related information workers",12012,6.339542645,4.781071745,0.594166667,High exposure,Low complementarity,HE-LC
"Supervisors, supply chain, tracking and scheduling coordination occupations",12013,6.589553917,4.45992542,0.671666667,High exposure,High complementarity,HE-HC
Executive assistants,12100,6.521234315,5.528557536,0.500555556,High exposure,Low complementarity,HE-LC
Human resources and recruitment officers,12101,6.647628811,4.675498931,0.645,High exposure,High complementarity,HE-HC
Procurement and purchasing agents and officers,12102,6.547963885,4.678887196,0.634166667,High exposure,High complementarity,HE-HC
Conference and event planners,12103,6.203170865,4.125108625,0.683333333,High exposure,High complementarity,HE-HC
Employment insurance and revenue officers,12104,6.450139253,5.332483813,0.522962963,High exposure,Low complementarity,HE-LC
"Court reporters, medical transcriptionists and related occupations",12110,6.392244358,5.118764019,0.547361111,High exposure,Low complementarity,HE-LC
Health information management occupations,12111,6.444289961,4.754777585,0.612592593,High exposure,Low complementarity,HE-LC
Records management technicians,12112,6.187362697,5.333191946,0.483888889,High exposure,Low complementarity,HE-LC
Statistical officers and related research support occupations,12113,6.640630651,5.407139697,0.533981481,High exposure,Low complementarity,HE-LC
Accounting technicians and bookkeepers,12200,6.503251614,5.437440933,0.512222222,High exposure,Low complementarity,HE-LC
Insurance adjusters and claims examiners,12201,6.474649483,5.14458982,0.55375,High exposure,Low complementarity,HE-LC
Insurance underwriters,12202,6.632575021,5.38528244,0.536388889,High exposure,Low complementarity,HE-LC
"Assessors, business valuators and appraisers",12203,6.516794378,5.188361007,0.5525,High exposure,Low complementarity,HE-LC
Administrative officers,13100,6.621021758,5.443662771,0.525694444,High exposure,Low complementarity,HE-LC
Property administrators,13101,6.618110325,4.516860297,0.665833333,High exposure,High complementarity,HE-HC
Payroll administrators,13102,6.566024376,5.756214703,0.471666667,High exposure,Low complementarity,HE-LC
Administrative assistants,13110,6.510392044,5.497769009,0.503888889,High exposure,Low complementarity,HE-LC
Legal administrative assistants,13111,6.616979534,5.756772194,0.478333333,High exposure,Low complementarity,HE-LC
Medical administrative assistants,13112,6.10041421,4.643093038,0.587222222,High exposure,Low complementarity,HE-LC
"Customs, ship and other brokers",13200,6.729419255,5.471391711,0.535277778,High exposure,Low complementarity,HE-LC
Production and transportation logistics coordinators,13201,6.677801078,5.184570559,0.571944444,High exposure,Low complementarity,HE-LC
General office support workers,14100,6.269058316,5.351560587,0.496805556,High exposure,Low complementarity,HE-LC
Receptionists,14101,6.499343417,5.699563102,0.471388889,High exposure,Low complementarity,HE-LC
Personnel clerks,14102,6.64449433,5.435565501,0.530277778,High exposure,Low complementarity,HE-LC
Court clerks and related court services occupations,14103,6.596338983,5.230802446,0.554814815,High exposure,Low complementarity,HE-LC
Survey interviewers and statistical clerks,14110,6.112442163,4.894194754,0.548472222,High exposure,Low complementarity,HE-LC
Data entry clerks,14111,6.174677878,5.313653352,0.487777778,High exposure,Low complementarity,HE-LC
Desktop publishing operators and related occupations,14112,6.322206313,5.368606861,0.499166667,High exposure,Low complementarity,HE-LC
Accounting and related clerks,14200,6.567777565,5.495074057,0.511547619,High exposure,Low complementarity,HE-LC
"Banking, insurance and other financial clerks",14201,6.503054053,5.463079669,0.508680556,High exposure,Low complementarity,HE-LC
Collection clerks,14202,6.637043594,5.645174301,0.497777778,High exposure,Low complementarity,HE-LC
Library assistants and clerks,14300,6.126484757,5.004997686,0.531388889,High exposure,Low complementarity,HE-LC
"Correspondence, publication and regulatory clerks",14301,6.604468229,5.633978315,0.495277778,High exposure,Low complementarity,HE-LC
Shippers and receivers,14400,5.698171242,4.455653346,0.566388889,Low exposure,Low complementarity,LE-LC
Storekeepers and partspersons,14401,5.490511607,4.525096649,0.524166667,Low exposure,Low complementarity,LE-LC
Production logistics workers,14402,6.417394855,4.916437503,0.582222222,High exposure,Low complementarity,HE-LC
Purchasing and inventory control workers,14403,6.591214235,5.624502814,0.495,High exposure,Low complementarity,HE-LC
Dispatchers,14404,6.488309259,5.428105144,0.511458333,High exposure,Low complementarity,HE-LC
Transportation route and crew schedulers,14405,6.570109431,4.748729094,0.625555556,High exposure,High complementarity,HE-HC
Engineering managers,20010,6.530154689,4.190182592,0.706666667,High exposure,High complementarity,HE-HC
Architecture and science managers,20011,6.525015106,4.193223461,0.705694444,High exposure,High complementarity,HE-HC
Computer and information systems managers,20012,6.606680196,4.65268905,0.644027778,High exposure,High complementarity,HE-HC
Physicists and astronomers,21100,6.621194139,4.921518481,0.604930556,High exposure,Low complementarity,HE-LC
Chemists,21101,6.364369049,4.461008831,0.6475,High exposure,High complementarity,HE-HC
Geoscientists and oceanographers,21102,6.370044224,4.4169747,0.654861111,High exposure,High complementarity,HE-HC
Meteorologists and climatologists,21103,6.653879989,4.914629692,0.609722222,High exposure,Low complementarity,HE-LC
Other professional occupations in physical sciences,21109,6.564252407,4.525687354,0.658888889,High exposure,High complementarity,HE-HC
Biologists and related scientists,21110,6.454008795,4.40791912,0.666035354,High exposure,High complementarity,HE-HC
Forestry professionals,21111,5.999752806,3.949837264,0.69,High exposure,High complementarity,HE-HC
"Agricultural representatives, consultants and specialists",21112,5.943252743,4.511247605,0.585069444,Low exposure,Low complementarity,LE-LC
Public and environmental health and safety professionals,21120,6.40604098,4.363123635,0.667916667,High exposure,High complementarity,HE-HC
Architects,21200,6.521839404,4.393183488,0.674722222,High exposure,High complementarity,HE-HC
Landscape architects,21201,6.531681464,4.633865128,0.638888889,High exposure,High complementarity,HE-HC
Urban and land use planners,21202,6.593738652,4.639427779,0.644722222,High exposure,High complementarity,HE-HC
Land surveyors,21203,6.155387159,4.246401898,0.659444444,High exposure,High complementarity,HE-HC
"Mathematicians, statisticians and actuaries",21210,6.688735262,5.248822313,0.563611111,High exposure,Low complementarity,HE-LC
Data scientists,21211,6.64236307,5.199012017,0.566111111,High exposure,Low complementarity,HE-LC
Cybersecurity specialists,21220,6.59808968,5.062201027,0.581111111,High exposure,Low complementarity,HE-LC
Business systems specialists,21221,6.63112094,5.275972855,0.552638889,High exposure,Low complementarity,HE-LC
Information systems specialists,21222,6.569506529,5.251024109,0.549027778,High exposure,Low complementarity,HE-LC
Database analysts and data administrators,21223,6.650596313,5.365705242,0.541527778,High exposure,Low complementarity,HE-LC
Computer systems developers and programmers,21230,6.416177218,5.219193637,0.535648148,High exposure,Low complementarity,HE-LC
Software engineers and designers,21231,6.575901,1.017029778,0.611888889,High exposure,Low complementarity,HE-LC
Software developers and programmers,21232,6.607717052,5.623901402,0.497222222,High exposure,Low complementarity,HE-LC
Web designers,21233,6.543558983,5.320003531,0.535277778,High exposure,Low complementarity,HE-LC
Web developers and programmers,21234,6.566688631,5.514661638,0.508611111,High exposure,Low complementarity,HE-LC
Civil engineers,21300,6.440660036,4.508050147,0.648518519,High exposure,High complementarity,HE-HC
Mechanical engineers,21301,6.447680579,4.525221407,0.646527778,High exposure,High complementarity,HE-HC
Electrical and electronics engineers,21310,6.423620125,4.707359884,0.615092593,High exposure,High complementarity,HE-HC
Computer engineers (except software engineers and designers),21311,6.569785616,5.07829933,0.575277778,High exposure,Low complementarity,HE-LC
Chemical engineers,21320,6.522620745,4.74915779,0.619907407,High exposure,High complementarity,HE-HC
Industrial and manufacturing engineers,21321,6.455327635,4.409542892,0.665138889,High exposure,High complementarity,HE-HC
Metallurgical and materials engineers,21322,6.467547808,4.63687247,0.631388889,High exposure,High complementarity,HE-HC
Mining engineers,21330,6.641723378,4.634446979,0.650555556,High exposure,High complementarity,HE-HC
Geological engineers,21331,6.641723378,4.634446979,0.650555556,High exposure,High complementarity,HE-HC
Petroleum engineers,21332,6.637833461,4.620669626,0.652222222,High exposure,High complementarity,HE-HC
